from,to,cost
26,13,11325.4
26,18,4806.2
26,19,5794.5
26,24,7967.7
26,26,0.0
26,31,2068.6
26,41,6711.1
26,43,10563.5
26,56,3608.1
26,68,3761.1
26,72,5979.1
26,82,258.6
26,97,6967.6
26,99,11095.6
26,102,8079.6
26,121,1939.3
26,126,3902.9
26,131,10294.6
26,149,10999.0
26,151,4557.0
26,158,6249.9
26,160,9312.5
26,164,9919.0
26,170,6841.8
26,171,6854.7
26,175,8676.4
26,176,9801.1
26,190,8630.4
26,191,7780.2
26,202,7861.9
26,204,8665.6
26,206,9469.2
26,207,10275.3
26,209,11805.3
26,212,10607.8
26,215,6420.8
26,217,2996.1
26,226,5664.6
26,227,5712.8
26,254,7183.7
26,313,9224.8
27,22,8262.0
27,27,0.0
27,156,1517.1
27,291,403.3
28,3,2182.6
28,8,10145.9
28,12,9207.9
28,28,0.0
28,37,5987.5
28,42,1805.4
28,57,10488.5
28,59,1818.4
28,65,13.2
28,78,6002.1
28,87,2478.3
28,90,12282.5
28,95,9119.8
28,111,9600.9
28,116,3225.9
28,125,5420.5
28,136,4546.2
28,137,11663.6
28,142,10783.3
28,148,9817.0
28,152,310.5
28,161,323.9
28,162,1292.9
28,163,1279.8
28,167,9209.3
28,174,10633.9
28,177,9488.0
28,184,7843.5
28,185,7857.0
28,190,9073.3
28,191,8223.1
28,193,7453.0
28,211,8697.2
28,213,9665.5
28,214,12902.8
28,229,8040.5
28,242,955.0
28,243,3978.0
28,244,3965.0
28,256,941.1
28,257,10896.3
28,314,8964.1
28,315,10780.7
28,317,10767.9
28,324,9879.6
29,27,12001.2
29,29,0.0
29,71,628.1
29,129,3434.1
29,143,1659.9
29,156,13517.9
29,194,6669.9
29,239,3058.2
29,286,4019.0
29,288,9768.2
29,289,9053.0
29,290,4253.0
29,291,12404.1
29,292,8600.4
29,293,7395.3
29,294,6251.2
29,295,6074.3
29,296,5312.0
29,297,9261.8
29,298,3707.5
30,14,882.2
30,30,0.0
30,45,3269.9
30,80,6189.1
30,84,10052.5
30,93,3610.4
30,109,10165.2
30,146,6543.9
30,221,9071.9
30,248,8695.1
30,251,4589.4
31,2,6304.0
31,4,7541.4
31,8,11771.6
31,13,13394.0
31,18,6874.8
31,19,7863.1
31,24,10036.3
31,26,2068.6
31,31,0.0
31,41,8779.6
31,43,12632.1
31,56,5676.7
31,68,5829.7
31,72,8047.7
31,82,1810.0
31,97,9036.2
31,99,13164.2
31,102,10148.2
31,121,129.3
31,126,5971.5
31,131,12363.2
31,149,13067.6
31,151,6625.6
31,158,8318.5
31,160,11381.1
31,164,11987.6
31,170,8910.4
31,171,8923.3
31,175,10745.0
31,176,11869.7
31,190,10699.0
31,191,9848.8
31,202,9930.5
31,204,10734.2
31,206,11537.8
31,207,12343.9
31,209,13873.9
31,212,12676.4
31,215,8489.4
31,217,5064.7
31,226,7733.2
31,227,7781.4
31,254,9252.3
31,313,11293.4
32,7,15626.3
32,15,5749.3
32,32,0.0
32,33,10212.6
32,35,17035.6
32,62,13650.4
32,81,6410.6
32,85,2306.3
32,94,13237.9
32,96,13282.3
32,101,15215.4
32,106,13814.3
32,108,11317.7
32,114,2936.2
32,123,10659.3
32,127,11892.6
32,144,3970.5
32,228,13493.7
32,238,14698.7
32,240,8750.5
33,7,5417.4
33,29,10917.6
33,33,0.0
33,34,6201.0
33,35,6826.8
33,46,10260.5
33,50,7074.5
33,62,3441.6
33,71,10289.5
33,74,10409.8
33,83,10124.9
33,86,9611.1
33,94,3029.1
33,96,3073.5
33,100,10159.3
33,101,5006.6
33,106,3605.4
33,108,1108.9
33,123,450.5
33,127,1683.7
33,128,9743.1
33,129,7483.5
33,141,10274.7
33,143,9257.8
33,145,11083.3
33,228,3284.8
33,235,11164.1
33,236,10420.2
33,237,6490.1
33,238,4489.9
33,239,13975.9
33,312,9374.0
34,4,9135.0
34,19,9456.8
34,20,5948.5
34,34,0.0
34,88,9622.5
34,97,8091.9
34,102,9203.9
34,128,3543.0
34,141,4074.6
34,142,9383.0
34,145,4883.2
34,158,9912.2
34,160,8312.0
34,167,10353.5
34,169,7966.7
34,182,6682.8
34,190,10093.2
34,191,9242.9
34,193,8843.0
34,196,6489.6
34,229,9184.7
34,231,8817.0
34,232,8030.7
34,233,7343.7
34,234,6698.9
34,235,4964.0
34,236,4220.1
34,237,290.0
34,257,9496.1
34,312,3173.8
34,313,10349.1
34,314,10354.1
34,324,8479.3
35,29,4094.7
35,35,0.0
35,71,3466.6
35,129,660.5
35,143,2434.8
35,194,10747.6
35,239,7152.9
35,286,8096.7
35,289,13130.7
35,290,8330.7
35,292,12678.2
35,293,11473.1
35,294,10328.9
35,295,10152.0
35,296,9389.7
35,297,13339.5
35,298,7785.2
36,9,7709.5
36,17,11132.0
36,25,4861.0
36,26,11223.8
36,31,9155.2
36,36,0.0
36,40,3350.4
36,45,11125.2
36,49,12596.4
36,54,2223.1
36,55,8015.5
36,79,10480.5
36,80,10212.4
36,82,10965.2
36,84,10667.9
36,93,11465.7
36,107,5102.6
36,109,10780.6
36,120,12819.3
36,121,9284.5
36,131,11960.8
36,146,10567.2
36,156,12689.6
36,157,11301.5
36,183,11917.7
36,186,3012.0
36,187,6744.1
36,188,7662.1
36,189,9987.3
36,218,4011.2
36,219,6855.9
36,220,5777.5
36,221,9687.3
36,222,6534.8
36,224,10441.1
36,246,2045.9
36,247,9122.2
36,248,9189.6
36,251,12444.7
37,37,0.0
37,78,14.5
37,170,6080.2
37,171,6093.1
37,193,1466.1
37,314,2977.2
37,315,4793.8
37,316,5389.6
37,317,4781.0
37,318,5376.9
38,2,6250.1
38,4,7487.5
38,13,13340.1
38,14,9406.2
38,19,7809.2
38,23,6194.4
38,25,10365.8
38,30,8525.0
38,38,0.0
38,40,8855.3
38,41,8725.8
38,64,7879.3
38,72,7993.8
38,97,8982.4
38,102,10094.3
38,107,10607.5
38,131,6479.9
38,134,5048.0
38,138,6417.7
38,151,6571.8
38,158,8264.7
38,170,8143.0
38,171,8155.9
38,186,8516.8
38,191,9794.9
38,197,9793.9
38,198,9780.8
38,200,1596.4
38,201,3734.7
38,202,9876.7
38,203,3259.8
38,204,10680.4
38,205,2461.5
38,206,11483.9
38,207,12290.0
38,208,855.1
38,209,13820.1
38,210,673.9
38,218,9516.0
38,226,7679.3
38,227,7727.5
38,254,5436.9
38,274,8980.3
38,275,9738.5
38,278,10672.3
38,279,11220.4
38,320,7095.6
39,39,0.0
40,9,4362.4
40,17,7784.9
40,25,1513.9
40,26,7876.7
40,31,5808.1
40,40,0.0
40,45,7778.1
40,49,9249.3
40,55,4668.4
40,79,7133.4
40,80,6865.3
40,82,7618.1
40,84,7320.8
40,93,8118.6
40,107,1755.5
40,109,7433.5
40,120,9472.2
40,121,5937.4
40,131,8613.7
40,133,12054.5
40,146,7220.0
40,156,9342.5
40,157,7954.4
40,183,8570.6
40,186,338.5
40,187,3397.0
40,188,4315.0
40,189,6640.2
40,217,10865.5
40,218,660.8
40,219,3508.8
40,220,2430.4
40,221,6340.2
40,222,3187.7
40,224,7094.0
40,247,5775.1
40,248,5842.4
40,250,10645.8
40,251,9097.6
40,287,9971.5
41,2,8842.6
41,4,6318.4
41,8,8922.0
41,13,12171.1
41,16,5885.0
41,19,6640.2
41,41,0.0
41,43,9782.5
41,46,9399.9
41,50,6124.6
41,58,6523.2
41,70,10271.9
41,77,8444.0
41,97,257.1
41,99,4385.1
41,102,1369.1
41,128,9896.8
41,131,7010.1
41,141,10428.4
41,142,8711.0
41,145,11237.0
41,149,4288.5
41,151,9164.3
41,158,7095.6
41,160,5495.3
41,164,3208.5
41,167,10302.5
41,170,8935.3
41,171,8948.2
41,172,14457.3
41,190,7849.4
41,191,6999.2
41,202,8707.6
41,204,9511.3
41,206,10314.8
41,207,11121.0
41,209,12651.0
41,226,10271.8
41,227,10320.0
41,229,9133.7
41,235,11317.8
41,236,10573.9
41,237,6643.8
41,254,8029.4
41,257,8824.1
41,310,10093.7
41,312,9527.7
41,313,2514.3
41,324,7807.4
42,3,377.3
42,37,4182.3
42,42,0.0
42,59,13.0
42,78,4196.8
42,87,673.0
42,116,1420.7
42,125,3615.3
42,136,2740.9
42,170,10261.9
42,171,10274.8
42,193,5647.7
42,243,2172.7
42,244,2159.7
42,314,7158.8
42,315,8975.5
42,316,9571.3
42,317,8962.6
42,318,9558.6
43,5,8283.2
43,12,7344.5
43,37,7638.8
43,43,0.0
43,47,9892.9
43,50,9875.5
43,66,8610.1
43,74,9311.6
43,78,7653.4
43,83,9026.7
43,88,1313.3
43,95,7256.4
43,104,11247.1
43,125,7071.8
43,136,6197.5
43,142,11117.9
43,155,9470.7
43,159,9436.1
43,167,10627.3
43,184,5322.6
43,185,5336.1
43,191,9641.1
43,193,9104.3
43,229,9458.5
43,237,10245.8
43,243,5629.3
43,244,5616.3
43,255,9973.6
43,257,11231.0
43,314,10615.4
43,324,10214.3
44,5,1549.6
44,12,2130.9
44,21,4925.8
44,37,9864.9
44,44,0.0
44,47,6167.6
44,52,6324.0
44,66,1876.5
44,67,9456.8
44,69,8226.8
44,74,4098.0
44,78,9879.5
44,83,3813.1
44,94,9908.3
44,95,2042.7
44,98,6854.2
44,104,4513.4
44,112,8799.8
44,125,9298.0
44,136,8423.6
44,155,5745.3
44,159,5710.8
44,184,9169.0
44,185,9182.4
44,243,7855.4
44,244,7842.4
44,255,6248.3
45,9,8425.7
45,17,10600.1
45,22,9846.0
45,26,11940.0
45,31,9871.4
45,45,0.0
45,49,12064.5
45,55,8731.7
45,79,9948.6
45,80,2921.8
45,82,11681.4
45,84,6785.2
45,93,343.1
45,109,6897.9
45,120,12287.3
45,121,10000.7
45,133,10471.9
45,146,3276.5
45,195,10496.8
45,219,7572.1
45,221,5804.6
45,248,5427.8
45,250,9063.2
45,251,1322.0
45,287,8560.0
45,300,8127.7
45,302,8562.8
45,303,9772.1
45,305,7869.8
45,309,9851.6
46,10,1297.4
46,46,0.0
46,115,1514.8
47,47,0.0
47,255,80.7
48,4,9239.6
48,19,9561.4
48,20,6053.1
48,48,0.0
48,60,1936.7
48,88,9893.1
48,97,8196.5
48,102,9308.5
48,128,3647.6
48,141,4345.2
48,142,9653.6
48,145,5153.8
48,147,1745.3
48,158,10016.8
48,160,8416.5
48,167,10624.2
48,169,8237.3
48,182,6953.4
48,190,10363.8
48,191,9513.6
48,193,9113.7
48,196,6760.3
48,229,9455.3
48,231,9087.6
48,232,8301.3
48,233,7614.3
48,234,6969.6
48,235,5234.6
48,236,4490.7
48,257,9766.7
48,311,2716.5
48,313,10453.7
48,314,10624.8
48,324,8750.0
49,2,9621.6
49,14,6075.2
49,17,1464.4
49,23,2863.4
49,30,5194.0
49,40,10629.5
49,45,8463.0
49,49,0.0
49,64,4548.3
49,79,9796.5
49,93,8803.4
49,120,222.9
49,131,9228.9
49,134,8419.4
49,138,3086.7
49,151,9943.2
49,186,10291.0
49,201,7106.1
49,203,6631.2
49,205,5832.9
49,218,11290.3
49,251,9782.4
49,254,8808.3
49,274,5641.6
49,275,6399.8
49,276,9840.2
49,277,11082.5
49,278,7333.6
49,279,7881.7
49,281,8986.4
49,320,3756.9
50,10,4569.7
50,46,3275.8
50,50,0.0
50,115,4787.1
51,9,4602.5
51,17,9430.3
51,18,12915.6
51,25,11553.3
51,26,8116.8
51,31,6048.2
51,40,10042.7
51,45,9423.5
51,49,10894.7
51,51,0.0
51,55,4908.5
51,56,11717.5
51,68,11870.6
51,79,8778.8
51,80,8510.6
51,82,7858.2
51,84,2962.0
51,93,9764.0
51,107,11794.9
51,109,3074.6
51,120,11117.5
51,121,6177.5
51,122,1498.1
51,126,12012.3
51,131,9079.9
51,133,13054.2
51,146,8865.4
51,186,9704.2
51,217,11105.6
51,218,10703.5
51,219,3748.8
51,221,1981.4
51,223,853.7
51,248,6963.1
51,250,11645.6
51,251,10742.9
51,287,10971.2
52,21,1398.2
52,29,11480.4
52,35,7389.5
52,52,0.0
52,67,3140.4
52,69,1910.3
52,71,10852.3
52,94,3591.8
52,98,530.2
52,112,2483.3
52,129,8046.3
52,143,9820.5
52,238,5052.7
52,239,14538.6
53,2,7301.5
53,4,4777.3
53,8,7416.7
53,13,10629.9
53,16,7237.2
53,19,5099.0
53,41,1352.7
53,43,8277.1
53,50,7476.8
53,53,0.0
53,58,7875.3
53,70,11624.1
53,72,9045.2
53,77,9462.1
53,88,9589.6
53,97,1609.3
53,99,5737.3
53,102,2721.3
53,131,6460.5
53,142,7854.3
53,148,9805.3
53,149,5640.7
53,151,7623.1
53,158,5554.5
53,160,3954.2
53,164,4560.7
53,167,9197.6
53,170,7810.9
53,171,7823.8
53,172,15809.5
53,190,6344.1
53,191,5493.8
53,202,7166.4
53,204,7970.1
53,206,8773.7
53,207,9579.8
53,209,11109.8
53,226,8730.7
53,227,8778.9
53,229,8277.0
53,237,7996.0
53,243,9830.8
53,244,9817.8
53,254,6488.2
53,257,7967.4
53,310,9237.1
53,313,3866.5
53,324,6950.7
54,9,5486.4
54,17,8908.9
54,25,2637.9
54,26,9000.7
54,31,6932.1
54,36,2223.1
54,40,1127.3
54,45,8902.1
54,49,10373.3
54,54,0.0
54,55,5792.4
54,79,8257.4
54,80,7989.3
54,82,8742.1
54,84,8444.8
54,93,9242.6
54,107,2879.5
54,109,8557.5
54,120,10596.2
54,121,7061.4
54,131,9737.7
54,146,8344.1
54,156,10466.5
54,157,9078.4
54,183,9694.6
54,186,788.9
54,187,4521.0
54,188,5439.0
54,189,7764.2
54,218,1788.1
54,219,4632.8
54,220,3554.4
54,221,7464.2
54,222,4311.7
54,224,8218.0
54,246,177.2
54,247,6899.1
54,248,6966.5
54,251,10221.6
55,2,7440.0
55,4,8677.3
55,9,306.0
55,17,8600.1
55,18,8010.7
55,19,8999.1
55,25,6795.2
55,26,3211.9
55,31,1143.3
55,40,5284.6
55,41,9915.6
55,45,8593.4
55,49,10064.5
55,55,0.0
55,56,6812.6
55,68,6965.7
55,72,9183.7
55,79,7948.6
55,82,2953.3
55,84,8889.4
55,93,8933.8
55,97,9413.7
55,107,7036.8
55,109,9002.1
55,120,10287.4
55,121,1272.6
55,126,7107.4
55,131,4175.0
55,134,11355.1
55,151,7761.6
55,158,9454.5
55,160,10137.8
55,170,10046.4
55,171,10059.2
55,186,4946.2
55,187,8678.3
55,188,9596.3
55,201,10041.8
55,203,9566.8
55,205,8768.6
55,215,9625.3
55,217,6200.7
55,218,5945.4
55,219,1159.6
55,220,7711.7
55,221,7908.8
55,222,8469.0
55,226,8869.2
55,227,8917.4
55,247,11056.4
55,248,7532.0
55,251,9912.8
55,254,9699.5
56,18,1198.1
56,24,4365.6
56,56,0.0
56,57,12429.5
56,90,14223.5
56,111,11541.9
56,126,294.8
56,137,13604.5
56,174,12574.8
56,175,5074.4
56,176,6199.1
56,177,11429.0
56,211,10638.1
56,212,7005.7
56,213,11606.4
56,214,14843.7
56,215,2818.7
57,36,9195.9
57,40,12540.1
57,54,11419.0
57,57,0.0
57,90,1794.0
57,105,8050.3
57,111,887.6
57,118,6726.7
57,124,7224.4
57,132,4416.3
57,137,1175.0
57,174,145.3
57,177,1000.5
57,186,12201.6
57,211,1791.3
57,213,823.0
57,214,2414.3
57,216,5842.6
57,218,13200.8
57,246,11241.8
57,253,5269.5
58,58,0.0
58,70,3755.3
58,172,7940.6
59,3,364.4
59,37,4169.3
59,42,13.0
59,59,0.0
59,78,4183.8
59,87,660.1
59,116,1407.7
59,125,3602.3
59,136,2728.0
59,170,10248.9
59,171,10261.8
59,193,5634.8
59,243,2159.8
59,244,2146.8
59,314,7145.9
59,315,8962.5
59,316,9558.3
59,317,8949.7
59,318,9545.6
60,4,11176.3
60,19,11498.1
60,20,7989.8
60,48,1936.7
60,60,0.0
60,88,11829.8
60,97,10133.2
60,102,11245.2
60,128,5584.3
60,141,6282.0
60,142,11590.3
60,145,7090.5
60,147,3682.1
60,158,11953.5
60,160,10353.3
60,167,12560.9
60,169,10174.0
60,182,8890.1
60,190,12300.6
60,191,11450.3
60,193,11050.4
60,196,8697.0
60,229,11392.0
60,231,11024.3
60,232,10238.1
60,233,9551.1
60,234,8906.3
60,235,7171.3
60,236,6427.4
60,257,11703.4
60,311,4653.2
60,313,12390.4
60,314,12561.5
60,324,10686.7
61,9,6499.4
61,17,11327.2
61,26,10013.7
61,31,7945.1
61,40,11939.6
61,45,11320.4
61,49,12791.6
61,51,1901.0
61,55,6805.4
61,61,0.0
61,76,1272.7
61,79,10675.7
61,80,10407.5
61,82,9755.1
61,84,4858.9
61,93,11660.9
61,103,1755.9
61,109,4971.5
61,120,13014.4
61,121,8074.4
61,122,3399.1
61,131,10976.8
61,146,10762.3
61,186,11601.2
61,218,12600.4
61,219,5645.7
61,221,3878.3
61,223,2754.7
61,248,8860.0
61,249,531.6
61,251,12639.8
62,10,8113.6
62,20,8707.7
62,34,2760.1
